speed (km/h),rpm,crank angle,t_cyclist,t_mg1,t_mg2,o_mg1,o_mg2,t_dc
"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"
"-0,01271131174898867","0,0","0,0","0,05","0,001808459159989174","0,1","-0,16318229902814507","-0,010928257289615073","0,1"
"-0,024011896330635954","-0,042371039163295564","-0,00044349766692221466","0,09984640725974932","0,003611362996018064","0,19969281451949863","-0,18563674433715915","-0,020643674413353238","0,2"
"-0,03391191050166997","-0,08003965443545318","-0,001281272729898103","0,14933472438635598","0,005401315004419282","0,29866944877271195","-0,20371961965220106","-0,02915498340870557","0,30000000000000004"
"-0,042426312382979885","-0,11303970167223325","-0,0024644592873013685","0,19829500885283002","0,007172168502800696","0,39659001770566005","-0,21752497537045457","-0,036475044175332615","0,4"
"-0,04957389253776021","-0,14142104127659963","-0,003944713326343536","0,24659159382923385","0,008919016532736156","0,4931831876584677","-0,22714974555930542","-0,04262001146683191","0,5"
"-0,05537632193360869","-0,1652463084592007","-0,00567434643698599","0,2941224915000633","0,010638170278242548","0,5882449830001266","-0,2326908726505349","-0,04760851639809544","0,6"
"-0,059857223638255616","-0,18458773977869564","-0,007606426309249598","0,34081855355839735","0,012327128701538893","0,6816371071167947","-0,23424257394831913","-0,05146086835710961","0,7"
"-0,06304127308209397","-0,19952407879418538","-0,009694844841988336","0,38664246031910293","0,01398454198009665","0,7732849206382059","-0,23189374592288955","-0,0541982814764039","0,7999999999999999"
"-0,06495332979751549","-0,21013757694031324","-0,011894354859822594","0,43158760658685796","0,015610171209396145","0,8631752131737159","-0,22572549702486833","-0,05584212816595781","0,8999999999999999"
"-0,06561760171402693","-0,2165110993250516","-0,01416057653645791","0,4756769491473149","0,01720484671762332","0,9513538982946298","-0,215808794800807","-0,05641322063518942","0,9999999999999999"
"-0,06505684134527118","-0,21872533904675645","-0,01644997466026031","0,5189618776197773","0,018770427225333338","1,0379237552395546","-0,2022022083792351","-0,055931119833274166","1,0999999999999999"
"-0,06329157154241416","-0,2168561378175706","-0,01871980785479682","0,5615211675262076","0,02030976197881171","1,1230423350524152","-0,1849497228769263","-0,05441346980846501","1,2"
"-0,060339336897403645","-0,21097190514138056","-0,020928050785911652","0,6034600719184663","0,02182665789497352","1,2069201438369326","-0,16407859788005433","-0,05187535411929885","1,3"
"-0,0562139753449184","-0,20113112299134547","-0,023033290250262066","0,6449096059045757","0,023325853683262763","1,2898192118091514","-0,13959723780014813","-0,04832866961116132","1,4000000000000001"
"-0,050924903014536074","-0,18737991781639468","-0,02499459585004627","0,6860260770828587","0,024813002861838695","1,3720521541657174","-0,11149303748729687","-0,04378151158442181","1,5000000000000002"
"-0,044476403901048865","-0,16974967671512026","-0,026771365716223433","0,7269909144018228","0,026294667567577642","1,4539818288036457","-0,0797301618806177","-0,03823756310485992","1,6000000000000003"
"-0,036866914422051485","-0,1482546796701629","-0,02832314744833103","0,7680108484976897","0,0277783250787341","1,5360216969953795","-0,04424721354628389","-0,031695479918542144","1,7000000000000004"
"-0,028088291383544538","-0,12288971474017162","-0,029609434092516405","0,8093184983147813","0,029272389032520982","1,6186369966295626","-0,00495473653393978","-0,02414826110212227","1,8000000000000005"
"-0,018125050236249433","-0,09362763794514846","-0,030589434578888273","0,8511734219893573","0,030786247434719676","1,7023468439787146","0,03826750111001197","-0,015582594171265719","1,9000000000000006"
"-0,006953558731622615","-0,060416834120831445","-0,031221817581631017","0,8938636947845309","0,032330319732297046","1,7877273895690617","0,08557351080270738","-0,005978161844993479","2,0000000000000004"
